DronV2:Dron1_X,DronV2:Dron1_Y,DronV2:Dron1_Z,DronV2:Dron4_X,DronV2:Dron4_Y,DronV2:Dron4_Z,DronV2:Dron2_X,DronV2:Dron2_Y,DronV2:Dron2_Z,DronV2:Dron3_X,DronV2:Dron3_Y,DronV2:Dron3_Z,Dron1:dron11_X,Dron1:dron11_Y,Dron1:dron11_Z,Dron1:dron12_X,Dron1:dron12_Y,Dron1:dron12_Z,Dron1:dron13_X,Dron1:dron13_Y,Dron1:dron13_Z,Dron1:dron14_X,Dron1:dron14_Y,Dron1:dron14_Z,Dron1:dron15_X,Dron1:dron15_Y,Dron1:dron15_Z
182.38026,-1694.6731,982.50684,171.72058,-1872.7924,998.2659,221.1755,-1716.7546,984.96735,101.1497,-1707.7428,985.60846,304.44202,90.97976,219.92757,220.90694,34.48341,220.54578,371.9537,27.693085,219.88593,298.03,-59.150684,221.26259,301.6903,30.979513,255.01828
182.43695,-1694.7413,982.50824,171.78297,-1872.8086,998.284,221.24133,-1716.7782,984.99884,101.212685,-1707.7587,985.6298,304.44455,90.97911,219.9304,220.90628,34.48349,220.5511,371.95367,27.693518,219.8897,298.03143,-59.14743,221.26315,301.6919,30.980413,255.02231
182.49643,-1694.8092,982.51086,171.84746,-1872.8253,998.30316,221.30911,-1716.8019,985.03125,101.277855,-1707.7749,985.65173,304.44748,90.9784,219.93332,220.90639,34.483517,220.55696,371.95395,27.693804,219.89336,298.03348,-59.144184,221.26376,301.69388,30.981222,255.0264
182.5587,-1694.8762,982.5147,171.91402,-1872.8425,998.3235,221.3788,-1716.8259,985.0646,101.34516,-1707.7916,985.674,304.45087,90.97762,219.93633,220.9073,34.48346,220.56335,371.95465,27.693892,219.8969,298.03616,-59.140972,221.26434,301.69635,30.981895,255.0305
182.62373,-1694.9423,982.5199,171.98259,-1872.8602,998.3449,221.45036,-1716.8501,985.0986,101.414566,-1707.809,985.6967,304.45477,90.97676,219.93947,220.90913,34.483307,220.57024,371.9558,27.693731,219.90028,298.03955,-59.13782,221.26486,301.69934,30.982391,255.03459
182.6915,-1695.0067,982.52655,172.05315,-1872.8784,998.36725,221.52374,-1716.8745,985.13324,101.48601,-1707.8269,985.7197,304.45917,90.97582,219.94273,220.91191,34.48304,220.57756,371.95755,27.693272,219.90352,298.0437,-59.134747,221.26523,301.70294,30.982672,255.03864
182.76195,-1695.0695,982.5346,172.12561,-1872.8971,998.39056,221.59889,-1716.8993,985.16846,101.55943,-1707.8455,985.743,304.46408,90.974785,219.94617,220.91565,34.482635,220.58528,371.95993,27.692469,219.90659,298.04858,-59.13177,221.26538,301.70715,30.982706,255.04259
182.83502,-1695.1301,982.54425,172.1999,-1872.9164,998.4147,221.67572,-1716.9242,985.2041,101.63476,-1707.8646,985.76636,304.4695,90.97363,219.94975,220.92035,34.482082,220.59334,371.963,27.691284,219.90945,298.05426,-59.12892,221.26526,301.71204,30.98246,255.04643
182.91066,-1695.1882,982.5555,172.27599,-1872.9363,998.4395,221.75418,-1716.9495,985.24,101.71191,-1707.8844,985.78986,304.47543,90.97234,219.95352,220.926,34.481354,220.60164,371.9669,27.689686,219.91211,298.06067,-59.12623,221.26483,301.7176,30.981909,255.05016
182.98875,-1695.2435,982.5684,172.35376,-1872.9567,998.4651,221.8342,-1716.975,985.2761,101.7908,-1707.9049,985.81335,304.48187,90.97089,219.95747,220.93251,34.480434,220.61015,371.97153,27.687649,219.91454,298.06778,-59.123734,221.26404,301.7238,30.981026,255.05373
