new_x,new_y,new_z,old_x,old_y,old_z,2.49645E12,2.28702896E11,6.0025156E-37,1.45865824E13,9.5905704E11,3.61215662E12,9.42855E-40,2.3877952E-38,0.0,5.0681168E7,825.0839,3220.3982
166.76613757740702,-1714.1266834630942,986.3249608493259,180.49643072934364,-1712.370565680284,985.3342241683129,181.63303,-1693.7466,983.6663,170.80014,-1871.251,999.56323,220.01668,-1714.7347,985.8673,100.24793,-1706.1038,986.7092
166.75843677510863,-1714.1687588052528,986.2730349401231,180.48976054595514,-1712.4146356767299,985.287515029004,181.62837,-1693.7659,983.6169,170.78905,-1871.2979,999.5208,220.008,-1714.7802,985.8149,100.24006,-1706.1538,986.65533
166.75128249934443,-1714.2099952096974,986.2219855201815,180.48365869369832,-1712.4585569825529,985.2420767962305,181.62442,-1693.7828,983.5687,170.77855,-1871.3439,999.47845,219.99998,-1714.8256,985.7634,100.23252,-1706.203,986.60223
166.7446876725597,-1714.2503285794733,986.17183228743,180.4781222042464,-1712.5021293117095,985.198049090612,181.62115,-1693.7975,983.5219,170.76863,-1871.3893,999.43616,219.99265,-1714.8707,985.7129,100.22533,-1706.2513,986.54974
166.73862180109288,-1714.289871880218,986.1225519897039,180.47307049083045,-1712.545749480168,985.1554430530974,181.61852,-1693.8096,983.47644,170.75931,-1871.434,999.3939,219.98596,-1714.9159,985.6632,100.21848,-1706.2988,986.49805
166.73311279478085,-1714.3285211805512,986.0742234186898,180.4685142385245,-1712.589121035624,985.1143096443603,181.61652,-1693.8192,983.4324,170.75056,-1871.4779,999.3518,219.97997,-1714.9609,985.6145,100.21199,-1706.3455,986.4471
166.72813110325498,-1714.3663797799845,986.0267914893683,180.46441604757968,-1712.6324548702933,985.0746642825719,181.61511,-1693.8264,983.3898,170.74243,-1871.5211,999.30975,219.97462,-1715.0059,985.5667,100.20586,-1706.3914,986.39685
166.72369301047092,-1714.4031935604546,985.9803070930452,180.4607525943482,-1712.6753548932463,985.0364747173821,181.61426,-1693.8309,983.3486,170.73488,-1871.5636,999.2679,219.96997,-1715.0505,985.51984,100.20009,-1706.4364,986.3474
166.71979143982225,-1714.4392208841723,985.9348267545902,180.45749224223107,-1712.7182295625555,984.999835687556,181.61394,-1693.833,983.3089,170.72794,-1871.6055,999.2262,219.966,-1715.0951,985.474,100.194695,-1706.4806,986.29877
166.7164176802307,-1714.4742542074775,985.8902562084329,180.45459524399664,-1712.7607697896706,984.9647351178982,181.6141,-1693.8325,983.2707,170.7216,-1871.6465,999.18463,219.9627,-1715.1394,985.429,100.18969,-1706.5239,986.2509
166.7135823214036,-1714.5084935303712,985.8467919367594,180.45204306525565,-1712.8032040149387,984.9311860478792,181.61472,-1693.8296,983.234,170.71587,-1871.6868,999.1433,219.96011,-1715.1836,985.38513,100.18507,-1706.5665,986.204
166.7112769432952,-1714.5417202391627,985.8043228312198,180.4497843826904,-1712.845217444243,984.8992754196407,181.61574,-1693.824,983.1989,170.71075,-1871.7263,999.10223,219.95822,-1715.2274,985.34216,100.180855,-1706.6083,986.15796
166.709499001948,-1714.57411492203,985.7629135272027,180.4478134598975,-1712.8871306708536,984.8689948441335,181.61714,-1693.8162,983.1654,170.70628,-1871.765,999.06146,219.95702,-1715.2711,985.30023,100.177055,-1706.6492,986.1128
166.7082539366989,-1714.605543651105,985.7225933729197,180.44608826931778,-1712.9287575401333,984.8402545728171,181.61888,-1693.8059,983.1334,170.70244,-1871.803,999.02094,219.95654,-1715.3145,985.25934,100.173676,-1706.6892,986.06866
166.70755151858484,-1714.6360331233632,985.683352747335,180.44461527285986,-1712.969895405223,984.8130815452748,181.62093,-1693.7935,983.10297,170.69923,-1871.8401,998.9808,219.95679,-1715.3574,985.2195,100.17075,-1706.7284,986.02545
166.70738384755572,-1714.6656713241377,985.645231783669,180.44335872699565,-1713.0107518062719,984.7874820070748,181.62326,-1693.779,983.0741,170.69667,-1871.8765,998.94104,219.95776,-1715.4,985.18066,100.16828,-1706.7668,985.98334
166.7077674892775,-1714.6945074954765,985.6082751897213,180.44228504686174,-1713.0514585123456,984.7633693210704,181.62582,-1693.7627,983.0467,170.6948,-1871.9119,998.9017,219.95949,-1715.4424,985.143,100.16629,-1706.8043,985.9423
166.70870064398588,-1714.7224829560655,985.5724755759541,180.44144899724094,-1713.091511044073,984.7406167356065,181.62862,-1693.7449,983.0207,170.69359,-1871.9465,998.86285,219.96196,-1715.4841,985.1064,100.164795,-1706.8411,985.90247
166.71019809269748,-1714.7496506524728,985.5378805693683,180.4407600306558,-1713.131428113534,984.7193148838479,181.63159,-1693.7256,982.99615,170.69307,-1871.9803,998.8245,219.96521,-1715.5256,985.071,100.163826,-1706.8768,985.8638
166.7122671786139,-1714.776131627285,985.5044402835847,180.44030927552507,-1713.1708123026713,984.6993173655794,181.63477,-1693.7053,982.97296,170.69327,-1872.0133,998.78674,219.96922,-1715.5665,985.0367,100.1634,-1706.9119,985.8263
166.71492058606412,-1714.8018140123395,985.4722294571242,180.44003587190343,-1713.2097856587675,984.6805523483782,181.63809,-1693.6842,982.95105,170.69418,-1872.0453,998.7496,219.97404,-1715.6069,985.00366,100.163536,-1706.9459,985.79004
166.71818754388698,-1714.8268498835885,985.4412605514678,180.4400096094796,-1713.2482559624286,984.6628771519255,181.64159,-1693.6627,982.9303,170.69585,-1872.0764,998.71313,219.97968,-1715.6467,984.9718,100.164276,-1706.9791,985.7552
166.72206888205076,-1714.8513419086748,985.4115163897263,180.440204065387,-1713.2863418238733,984.6461838292164,181.64523,-1693.6411,982.9106,170.69827,-1872.1067,998.67737,219.98615,-1715.686,984.9412,100.165634,-1707.0115,985.7217
166.72658104573833,-1714.8753826904435,985.3830817962145,180.44065209328872,-1713.3241555744269,984.6304714468001,181.64902,-1693.6199,982.89197,170.70148,-1872.136,998.6424,219.99344,-1715.7249,984.912,100.167656,-1707.043,985.6896
166.73176444488308,-1714.898796344133,985.355847277136,180.44139399331186,-1713.3612996605493,984.6155082178941,181.65297,-1693.5992,982.8742,170.70549,-1872.1643,998.6082,220.00162,-1715.763,984.88403,100.17037,-1707.0735,985.6589
166.7376232642698,-1714.921768959469,985.3299524830973,180.44246380479424,-1713.3978086643526,984.6012154100492,181.65707,-1693.5797,982.85724,170.71034,-1872.1919,998.57495,220.01067,-1715.8003,984.8575,100.17381,-1707.1031,985.62976
166.7442055648613,-1714.944515451959,985.3053048069535,180.44386460455925,-1713.4340657371895,984.5875458859102,181.66135,-1693.5614,982.841,170.71605,-1872.2184,998.5426,220.02065,-1715.8372,984.8323,100.178024,-1707.132,985.6021
166.75151480246222,-1714.9668975628933,985.2819582980223,180.445649013633,-1713.4697118129711,984.5742647721819,181.6658,-1693.5449,982.8253,170.72266,-1872.2441,998.5112,220.03154,-1715.8733,984.80853,100.183044,-1707.1599,985.57605
166.75960664705275,-1714.9890781254894,985.2599736646641,180.44788887592986,-1713.5048194669987,984.5614638233144,181.67049,-1693.5305,982.81024,170.73016,-1872.2688,998.4809,220.04341,-1715.9087,984.78625,100.18891,-1707.187,985.55164
166.76850198947412,-1715.0110318466768,985.2392828751789,180.45060269736283,-1713.539435048387,984.5488688605191,181.67542,-1693.5184,982.79553,170.73863,-1872.2927,998.45166,220.05626,-1715.9434,984.7655,100.19567,-1707.2131,985.5288
166.77825166996521,-1715.0328505509267,985.2199401332127,180.4538524395923,-1713.5734497946096,984.5365329923213,181.68063,-1693.5089,982.78125,170.7481,-1872.3158,998.4236,220.07014,-1715.9773,984.7463,100.203384,-1707.2384,985.5076
166.7888880223815,-1715.0546801807745,985.2019585436021,180.45769776890054,-1713.60696520466,984.5242543808655,181.68617,-1693.5024,982.7672,170.75858,-1872.3379,998.39667,220.08508,-1716.0105,984.72864,100.21208,-1707.263,985.4882
166.80046942673258,-1715.0764274211501,985.1853491371774,180.46220352966026,-1713.6400798270604,984.5121647473925,181.69211,-1693.4989,982.7535,170.77013,-1872.3593,998.37103,220.10112,-1716.0431,984.7126,100.22183,-1707.2865,985.47046
166.81303409510681,-1715.0982680645723,985.170074862313,180.46743484098752,-1713.6727126120459,984.499998624015,181.69849,-1693.4988,982.7399,170.78279,-1872.3798,998.3466,220.11829,-1716.075,984.6982,100.23268,-1707.3093,985.4544
166.82663509033995,-1715.1200904091402,985.1562176227761,180.47347039416596,-1713.7046545930148,984.4878518376606,181.70538,-1693.5021,982.7265,170.79659,-1872.3995,998.3236,220.13664,-1716.106,984.6855,100.24468,-1707.3313,985.4401
166.84132907798744,-1715.1420221887076,985.1437461048213,180.4803701222205,-1713.736196923623,984.4757389987551,181.71286,-1693.5088,982.7133,170.81158,-1872.4186,998.30194,220.1562,-1716.1364,984.67444,100.257904,-1707.3525,985.42755
166.8571679760807,-1715.1641340929168,985.1327115283642,180.48823782812366,-1713.7672495552833,984.4635970601046,181.72101,-1693.5193,982.70026,170.82782,-1872.437,998.2817,220.17702,-1716.1661,984.66516,100.27239,-1707.373,985.41675
166.8742253199419,-1715.186330997784,985.1230765802834,180.49715112948246,-1713.797795405741,984.4514687374016,181.72993,-1693.5333,982.6874,170.84535,-1872.4547,998.2629,220.19916,-1716.1951,984.6576,100.288216,-1707.3927,985.40765
166.89254389911775,-1715.2087324616343,985.1148519145003,180.50719000314126,-1713.8279415121492,984.4392413366651,181.7397,-1693.551,982.6746,170.86421,-1872.4718,998.24554,220.22264,-1716.2235,984.6518,100.30543,-1707.4117,985.4003
166.91219792983884,-1715.2313716339638,985.1080897853641,180.51844789297274,-1713.857566887817,984.4271381691033,181.75041,-1693.5724,982.6621,170.88446,-1872.4883,998.2298,220.24753,-1716.2512,984.6478,100.324104,-1707.4302,985.39465
166.9332500693873,-1715.254183792285,985.1027812195891,180.5310152310558,-1713.8868716217823,984.4150824372058,181.76218,-1693.5973,982.6498,170.90616,-1872.5043,998.2155,220.27388,-1716.2784,984.6456,100.344284,-1707.4479,985.39075
166.95577341187544,-1715.277245446891,985.0989363870568,180.54501376358132,-1713.9157485635278,984.403131300715,181.77512,-1693.6259,982.63776,170.92937,-1872.5199,998.2029,220.30174,-1716.305,984.64526,100.36605,-1707.465,985.3885
166.97983188576347,-1715.3005496859923,985.0964993539969,180.56049745168775,-1713.944189378898,984.3912068603173,181.7893,-1693.658,982.6259,170.95412,-1872.535,998.1918,220.33118,-1716.331,984.6467,100.38946,-1707.4816,985.3879
167.00548030336367,-1715.3241453782712,985.0955309671845,180.5775853499519,-1713.9723729022267,984.3795443579411,181.80487,-1693.6934,982.61444,170.98047,-1872.5498,998.1823,220.36221,-1716.3566,984.65,100.414566,-1707.4977,985.3889
167.03279483673913,-1715.3479689727365,985.0959992960031,180.59637292256096,-1714.0001908534273,984.368102950731,181.82193,-1693.732,982.60333,171.00848,-1872.5642,998.17444,220.3949,-1716.3817,984.6551,100.44144,-1707.5133,985.3915
167.06184164553747,-1715.3720882645262,985.097897028521,180.61696602149934,-1714.0277400058337,984.3569165344209,181.84059,-1693.7739,982.5926,171.03822,-1872.5784,998.1683,220.42932,-1716.4064,984.66205,100.47012,-1707.5284,985.3956
167.09267803572178,-1715.396588798192,985.1012428791835,180.63945225996054,-1714.0550050049392,984.3460157695471,181.86095,-1693.819,982.5823,171.06973,-1872.5923,998.1637,220.46548,-1716.4307,984.6708,100.500694,-1707.5433,985.4013
167.1253773380094,-1715.4213490655402,985.1059876286831,180.6639371336397,-1714.0819722486103,984.3354668494828,181.88315,-1693.8668,982.57245,171.10306,-1872.6062,998.16077,220.50346,-1716.4546,984.68134,100.533195,-1707.5579,985.40845
167.15998806579205,-1715.4464062939514,985.1120945833002,180.690486324374,-1714.1088247368546,984.3253145932337,181.90726,-1693.9175,982.5631,171.13826,-1872.6199,998.1595,220.54329,-1716.4783,984.6936,100.56768,-1707.572,985.417
167.19656515449353,-1715.4717882976356,985.1196354361871,180.7192076930792,-1714.1354574691509,984.3157084009531,181.93341,-1693.9707,982.5544,171.1754,-1872.6334,998.15985,220.58499,-1716.5017,984.7077,100.6042,-1707.586,985.42694
167.235173237286,-1715.4975882507085,985.1285021383053,180.75018881461492,-1714.1619679610797,984.3065165537535,181.9617,-1694.0264,982.5462,171.2145,-1872.6471,998.1618,220.62863,-1716.5249,984.7236,100.6428,-1707.6,985.4381
167.27585016877623,-1715.5237253987293,985.13867385555,180.78349810062954,-1714.188418340105,984.2978907724224,181.99222,-1694.0844,982.53864,171.2556,-1872.6608,998.1654,220.67422,-1716.548,984.7411,100.68352,-1707.6138,985.45056
167.31864419670896,-1715.5501699720712,985.1501710569212,180.81920142071326,-1714.2147082013425,984.2899108827601,182.02505,-1694.1444,982.5318,171.29875,-1872.6744,998.1706,220.7218,-1716.5709,984.7603,100.7264,-1707.6276,985.46423
167.36359777853508,-1715.5770031301827,985.1629028475834,180.8574063439228,-1714.241027915491,984.2825476533893,182.06032,-1694.2063,982.52563,171.344,-1872.6884,998.17737,220.77138,-1716.5938,984.7811,100.77147,-1707.6414,985.479
167.41073719757628,-1715.6041290313055,985.1769038904031,180.89814135216926,-1714.2672538563183,984.2759196868525,182.09807,-1694.2699,982.52026,171.39134,-1872.7024,998.18567,220.82298,-1716.6166,984.8035,100.81876,-1707.6552,985.4949
167.46009644754577,-1715.6316296936184,985.1920724342353,180.94146022991424,-1714.2934838984972,984.2700571524847,182.13837,-1694.335,982.5157,171.44083,-1872.7166,998.1955,220.87663,-1716.6394,984.82745,100.868286,-1707.6692,985.5117
167.51169512457002,-1715.659394678959,985.2083925379823,180.98741417754664,-1714.3196887536462,984.2650245757482,182.1813,-1694.4012,982.512,171.49246,-1872.7311,998.2068,220.93233,-1716.6622,984.8528,100.92006,-1707.6833,985.5295
167.56555068422688,-1715.6875890289184,985.2258177279746,181.03605039247012,-1714.3460594882954,984.2608790628838,182.22693,-1694.4684,982.5092,171.54625,-1872.7458,998.21954,220.99008,-1716.6852,984.8796,100.97409,-1707.6978,985.5481
167.62166256545711,-1715.7159382083773,985.2442872166682,181.0873831004816,-1714.3722784298798,984.2576991873843,182.27527,-1694.5363,982.5074,171.6022,-1872.761,998.2337,221.04987,-1716.7081,984.90765,101.03038,-1707.7124,985.5675
167.6800293772334,-1715.74464339517,985.2637573879085,181.14141778459427,-1714.39873068831,984.2555295004839,182.32637,-1694.6046,982.5066,171.66032,-1872.7765,998.24915,221.11168,-1716.7313,984.9369,101.08892,-1707.7274,985.58765
167.7406480940565,-1715.773590219752,985.2842036853333,181.19818075275103,-1714.425205885403,984.2544025705604,182.38026,-1694.6731,982.50684,171.72058,-1872.7924,998.2659,221.1755,-1716.7546,984.96735,101.1497,-1707.7428,985.60846
167.80350749019155,-1715.8027925923975,985.3055407196642,181.2576427521704,-1714.451873653362,984.2544858262565,182.43695,-1694.7413,982.50824,171.78297,-1872.8086,998.284,221.24133,-1716.7782,984.99884,101.212685,-1707.7587,985.6298
167.86857319764837,-1715.8321066063445,985.3277420890515,181.31980589368212,-1714.4785233780071,984.2557800133162,182.49643,-1694.8092,982.51086,171.84746,-1872.8253,998.30316,221.30911,-1716.8019,985.03125,101.277855,-1707.7749,985.65173
167.9358098192711,-1715.8615673066963,985.3507297136559,181.38462362873875,-1714.5053506847355,984.2583633640461,182.5587,-1694.8762,982.5147,171.91402,-1872.8425,998.3235,221.3788,-1716.8259,985.0646,101.34516,-1707.7916,985.674
168.0051806490033,-1715.891207842949,985.3744434155559,181.45207154177047,-1714.5322135248136,984.2623350305965,182.62373,-1694.9423,982.5199,171.98259,-1872.8602,998.3449,221.45036,-1716.8501,985.0986,101.414566,-1707.809,985.6967
168.0766380892157,-1715.9207988504836,985.3988447701205,181.52208770466328,-1714.5591073726134,984.2678265463386,182.6915,-1695.0067,982.52655,172.05315,-1872.8784,998.36725,221.52374,-1716.8745,985.13324,101.48601,-1707.8269,985.7197
168.150124112536,-1715.9505122826808,985.4239005734898,181.59460324383159,-1714.5862202268088,984.2748041935417,182.76195,-1695.0695,982.5346,172.12561,-1872.8971,998.39056,221.59889,-1716.8993,985.16846,101.55943,-1707.8455,985.743
168.22556418305308,-1715.9800428901606,985.449493349673,181.6695455317195,-1714.6132269849381,984.2834503357858,182.83502,-1695.1301,982.54425,172.1999,-1872.9164,998.4147,221.67572,-1716.9242,985.2041,101.63476,-1707.8646,985.76636
168.30289456999327,-1716.009524141521,985.4755814451947,181.74683383557561,-1714.6404152033606,984.2937969848352,182.91066,-1695.1882,982.5555,172.27599,-1872.9363,998.4395,221.75418,-1716.9495,985.24,101.71191,-1707.8844,985.78986
168.3820297272196,-1716.0388136206004,985.5021020583997,181.82634441736005,-1714.6675724052222,984.3059110672932,182.98875,-1695.2435,982.5684,172.35376,-1872.9567,998.4651,221.8342,-1716.975,985.2761,101.7908,-1707.9049,985.81335
168.46287676356334,-1716.0679195029263,985.5290435797638,181.90802353167504,-1714.6948756057686,984.3199363043826,183.06926,-1695.2958,982.5831,172.43315,-1872.9777,998.4913,221.91565,-1717.0009,985.3123,101.87134,-1707.926,985.83685
168.5453489001445,-1716.0966585326769,985.5563008357849,181.99170613694486,-1714.722008235352,984.3359730693963,183.15204,-1695.3444,982.5997,172.51404,-1872.9993,998.51794,221.99849,-1717.0269,985.34845,101.95343,-1707.9479,985.8602
168.62933692260546,-1716.1250737578848,985.5838101547922,182.07729001510225,-1714.7491739156549,984.3539069962262,183.237,-1695.3893,982.61804,172.59634,-1873.0215,998.5451,222.0826,-1717.0532,985.38446,102.03696,-1707.9705,985.8834
168.71472598457885,-1716.153047828597,985.6115368384962,182.16462720445688,-1714.776339448887,984.3740139787453,183.32402,-1695.4299,982.6384,172.67995,-1873.0443,998.5726,222.16788,-1717.0798,985.42017,102.1218,-1707.9938,985.9064
168.8014193697377,-1716.180580744814,985.6394047414353,182.25359896445576,-1714.803498720745,984.3962702805622,183.41298,-1695.4662,982.66077,172.76476,-1873.0677,998.6003,222.25424,-1717.1067,985.4555,102.20786,-1708.0178,985.9291
168.8892914141617,-1716.2075756595436,985.6673477611789,182.34407376607732,-1714.830553561857,984.420662260357,183.50377,-1695.4977,982.6851,172.85065,-1873.0918,998.6282,222.34155,-1717.1338,985.4904,102.29501,-1708.0426,985.9514
168.97821489123623,-1716.2339527629806,985.6953459240167,182.4359039199191,-1714.857473522463,984.4473362906778,183.59625,-1695.5242,982.71155,172.9375,-1873.1165,998.6562,222.4297,-1717.1611,985.52466,102.38311,-1708.0681,985.9734
169.0680741689515,-1716.2596481913663,985.7233040210112,182.52892717568702,-1714.8843693342722,984.4762040095528,183.69028,-1695.5454,982.74,173.02519,-1873.1416,998.68414,222.5186,-1717.1887,985.5583,102.47203,-1708.0942,985.9949
169.1587256968701,-1716.2846527639394,985.7511564035224,182.62301468123079,-1714.9110195446383,984.5073917031707,183.78572,-1695.5612,982.7706,173.11359,-1873.1675,998.7121,222.6081,-1717.2164,985.5911,102.56163,-1708.1211,986.01587
169.2500378803874,-1716.3089540673632,985.7788936632832,182.71800366743045,-1714.9377264793925,984.5408865978701,183.88245,-1695.5712,982.8033,173.20258,-1873.1938,998.7398,222.69806,-1717.2445,985.6231,102.65178,-1708.1487,986.0363
169.3418743018509,-1716.3323583209585,985.8064437678864,182.81373796858435,-1714.9640845677143,984.5766639438476,183.98029,-1695.5753,982.8381,173.292,-1873.221,998.76733,222.78838,-1717.2726,985.6541,102.74233,-1708.1769,986.0562
169.43410477328217,-1716.3549153127371,985.8337317114181,182.9100921907274,-1714.9902983213374,984.6146373661467,184.07913,-1695.5735,982.8749,173.38176,-1873.2484,998.7945,222.87892,-1717.3009,985.6841,102.833145,-1708.2057,986.07544
169.5265829785006,-1716.3765689747672,985.8607237612814,183.0069125597017,-1715.0162570098933,984.654873030125,184.17883,-1695.5654,982.91376,173.4717,-1873.2766,998.8213,222.96954,-1717.3293,985.71295,102.92407,-1708.2352,986.09406
169.61916920853884,-1716.397329432445,985.8873589894679,183.10404731320745,-1715.0420691008355,984.6972872159397,184.27924,-1695.5511,982.9546,173.56169,-1873.3053,998.8476,223.0601,-1717.3579,985.74066,103.01497,-1708.2653,986.11194
169.7117224584992,-1716.41712473239,985.9136052034686,183.2013456020897,-1715.0676344095261,984.7418432151915,184.3802,-1695.5306,982.9974,173.6516,-1873.3346,998.87335,223.15048,-1717.3866,985.7671,103.10569,-1708.2959,986.12915
169.80410429107616,-1716.435947330943,985.9393965848772,183.29869832595878,-1715.0928581581725,984.788432760223,184.4816,-1695.5039,983.04205,173.74129,-1873.3644,998.89856,223.24052,-1717.4153,985.79224,103.1961,-1708.3271,986.1456
169.8961736311769,-1716.4537581114537,985.964705582633,183.39590961187886,-1715.1177541825182,984.8370096757574,184.58325,-1695.4708,983.0885,173.83063,-1873.3947,998.9231,223.33011,-1717.444,985.81604,103.28605,-1708.3589,986.1613
169.98778891547323,-1716.4705386067349,985.9895088573564,183.49288300935274,-1715.1423207777655,984.8874937784385,184.68504,-1695.4316,983.1367,173.9195,-1873.4254,998.9469,223.41908,-1717.4727,985.8384,103.37541,-1708.3911,986.17633
170.0788126505862,-1716.4862738153747,986.0136738688097,183.58946937943566,-1715.1663823178042,984.9396897194555,184.7868,-1695.3864,983.18646,174.00777,-1873.4567,998.97,223.50731,-1717.5012,985.85925,103.46404,-1708.4238,986.1905
170.1691163679337,-1716.501074494638,986.0372587905083,183.68552614726957,-1715.1902378521347,984.9936214002868,184.88841,-1695.3352,983.2378,174.0953,-1873.4884,998.99225,223.59467,-1717.5298,985.87866,103.55181,-1708.457,986.2039
170.25855769147918,-1716.5148267342524,986.060213487202,183.78094544753927,-1715.213623646146,985.0490147239822,184.98972,-1695.2784,983.29047,174.18199,-1873.5205,999.01373,223.681,-1717.5582,985.8966,103.638596,-1708.4905,986.21655
170.34701552074412,-1716.5275907856965,986.0824703120984,183.87556830187282,-1715.236535899349,985.1058654775712,185.09056,-1695.2161,983.3445,174.26772,-1873.5531,999.0343,223.7662,-1717.5864,985.9129,103.72428,-1708.5244,986.22845
170.43435753214357,-1716.539465072467,986.1040460603441,183.96928144931937,-1715.2591161734467,985.163914670435,185.19081,-1695.1486,983.3996,174.35237,-1873.5862,999.0541,223.85013,-1717.6145,985.92773,103.80873,-1708.5587,986.2396
170.52047911256287,-1716.5503991493774,986.1249027618892,184.06195342875415,-1715.281167634066,985.2231159578336,185.2903,-1695.0763,983.4558,174.43584,-1873.6195,999.07294,223.9327,-1717.6423,985.941,103.89186,-1708.5933,986.25
170.60523514823655,-1716.5604448655185,986.1449950959404,184.15348500895755,-1715.302712453081,985.2832783762576,185.38892,-1694.9994,983.5129,174.51802,-1873.6533,999.0909,224.01373,-1717.6698,985.95264,103.97354,-1708.6282,986.2597
170.6885479109317,-1716.5696746335411,986.1643623866821,184.2437448644351,-1715.3237812543261,985.3442566548017,185.4865,-1694.9185,983.5708,174.59883,-1873.6874,999.1079,224.09319,-1717.697,985.96277,104.05369,-1708.6633,986.26874
170.77028132893952,-1716.5781842092986,986.1829551133155,184.33259366295815,-1715.3444985198526,985.4059217974498,185.5829,-1694.8337,983.62933,174.67816,-1873.7218,999.12415,224.17091,-1717.724,985.9714,104.13221,-1708.6987,986.27704
170.8503604856974,-1716.586051506989,986.2007793539199,184.41998763411533,-1715.36458346529,985.4680375807282,185.67801,-1694.7458,983.68835,174.75595,-1873.7566,999.13947,224.24684,-1717.7505,985.97845,104.209015,-1708.7345,986.2848
170.92867438434342,-1716.593284216775,986.2178533526367,184.5057789183022,-1715.3842680041241,985.5304920365445,185.77167,-1694.6552,983.74774,174.83209,-1873.7917,999.15393,224.32086,-1717.7767,985.9841,104.28403,-1708.7703,986.29193
171.0051375514664,-1716.6000497287873,986.2341466037634,184.5898987810575,-1715.4034847197745,985.5930688302335,185.86377,-1694.5624,983.8073,174.90656,-1873.8271,999.1676,224.39288,-1717.8025,985.9883,104.35718,-1708.8064,986.2985
171.07967554092437,-1716.6063898273196,986.2497174042153,184.67222044031223,-1715.4222432001104,985.655715984964,185.95416,-1694.4678,983.867,174.97923,-1873.8628,999.18054,224.46286,-1717.8279,985.99115,104.4284,-1708.8427,986.30457
171.15221584003632,-1716.6124371765022,986.2645584356027,184.75271467186437,-1715.4405779496262,985.7181645437879,186.04277,-1694.3721,983.9266,175.05008,-1873.8987,999.1927,224.5307,-1717.8529,985.9927,104.49764,-1708.8792,986.3102
171.22268485243796,-1716.618243771932,986.2786709284069,184.8312862134303,-1715.4586171659662,985.7802685160431,186.12947,-1694.2759,983.98596,175.11906,-1873.9349,999.2042,224.59633,-1717.8776,985.993,104.56485,-1708.9156,986.3154
171.2910202507984,-1716.6240821066144,986.2921487889457,184.90785319234624,-1715.4762865351254,985.8419212543662,186.21414,-1694.1797,984.045,175.18611,-1873.9713,999.2151,224.65971,-1717.9019,985.9922,104.629974,-1708.9525,986.3203
171.35718468427393,-1716.6298915296097,986.304939209741,184.98239001904184,-1715.493609191584,985.9028414511616,186.29672,-1694.0841,984.10345,175.25119,-1874.008,999.2254,224.7208,-1717.9258,985.9903,104.69299,-1708.9894,986.3249
171.42112428321138,-1716.6359417859267,986.317143534472,185.0548354384748,-1715.5108065713553,985.9630956803564,186.37712,-1693.9897,984.1614,175.31429,-1874.045,999.2352,224.77953,-1717.9495,985.9875,104.753876,-1709.0265,986.3292
