new_x,new_y,new_z,old_x,old_y,old_z,,,,,,,,,,,,
182.59560363636365,-1714.63896969697,985.2455395454547,182.62301468123079,-1714.9110195446383,984.5073917031707,183.78572,-1695.5612,982.7706,173.11359,-1873.1675,998.7121,222.6081,-1717.2164,985.5911,102.56163,-1708.1211,986.01587
182.6880187878788,-1714.660307575758,985.2753196969697,182.71800366743045,-1714.9377264793925,984.5408865978701,183.88245,-1695.5712,982.8033,173.20258,-1873.1938,998.7398,222.69806,-1717.2445,985.6231,102.65178,-1708.1487,986.0363
182.78107772727276,-1714.6796590909094,985.3053574242426,182.81373796858435,-1714.9640845677143,984.5766639438476,183.98029,-1695.5753,982.8381,173.292,-1873.221,998.76733,222.78838,-1717.2726,985.6541,102.74233,-1708.1769,986.0562
182.87465462121213,-1714.6970712121213,985.3355821212123,182.9100921907274,-1714.9902983213374,984.6146373661467,184.07913,-1695.5735,982.8749,173.38176,-1873.2484,998.7945,222.87892,-1717.3009,985.6841,102.833145,-1708.2057,986.07544
182.96860560606063,-1714.7124060606063,985.3659639393941,183.0069125597017,-1715.0162570098933,984.654873030125,184.17883,-1695.5654,982.91376,173.4717,-1873.2766,998.8213,222.96954,-1717.3293,985.71295,102.92407,-1708.2352,986.09406
183.0627884848485,-1714.7257060606064,985.3964481818184,183.10404731320745,-1715.0420691008355,984.6972872159397,184.27924,-1695.5511,982.9546,173.56169,-1873.3053,998.8476,223.0601,-1717.3579,985.74066,103.01497,-1708.2653,986.11194
183.1570613636364,-1714.736916666667,985.4269878787879,183.2013456020897,-1715.0676344095261,984.7418432151915,184.3802,-1695.5306,982.9974,173.6516,-1873.3346,998.87335,223.15048,-1717.3866,985.7671,103.10569,-1708.2959,986.12915
183.25128924242426,-1714.7460136363638,985.4575139393941,183.29869832595878,-1715.0928581581725,984.788432760223,184.4816,-1695.5039,983.04205,173.74129,-1873.3644,998.89856,223.24052,-1717.4153,985.79224,103.1961,-1708.3271,986.1456
183.34532424242428,-1714.7529242424246,985.4879884848485,183.39590961187886,-1715.1177541825182,984.8370096757574,184.58325,-1695.4708,983.0885,173.83063,-1873.3947,998.9231,223.33011,-1717.444,985.81604,103.28605,-1708.3589,986.1613
183.43902833333334,-1714.7577136363639,985.5183665151517,183.49288300935274,-1715.1423207777655,984.8874937784385,184.68504,-1695.4316,983.1367,173.9195,-1873.4254,998.9469,223.41908,-1717.4727,985.8384,103.37541,-1708.3911,986.17633
183.53225893939396,-1714.7603681818184,985.5485157575758,183.58946937943566,-1715.1663823178042,984.9396897194555,184.7868,-1695.3864,983.18646,174.00777,-1873.4567,998.97,223.50731,-1717.5012,985.85925,103.46404,-1708.4238,986.1905
183.62488924242427,-1714.7609969696973,985.578481969697,183.68552614726957,-1715.1902378521347,984.9936214002868,184.88841,-1695.3352,983.2378,174.0953,-1873.4884,998.99225,223.59467,-1717.5298,985.87866,103.55181,-1708.457,986.2039
183.7167726969697,-1714.759587878788,985.6081700000001,183.78094544753927,-1715.213623646146,985.0490147239822,184.98972,-1695.2784,983.29047,174.18199,-1873.5205,999.01373,223.681,-1717.5582,985.8966,103.638596,-1708.4905,986.21655
183.80777939393943,-1714.7562015151518,985.6375174242427,183.87556830187282,-1715.236535899349,985.1058654775712,185.09056,-1695.2161,983.3445,174.26772,-1873.5531,999.0343,223.7662,-1717.5864,985.9129,103.72428,-1708.5244,986.22845
183.89777909090913,-1714.7509863636365,985.6664921212123,183.96928144931937,-1715.2591161734467,985.163914670435,185.19081,-1695.1486,983.3996,174.35237,-1873.5862,999.0541,223.85013,-1717.6145,985.92773,103.80873,-1708.5587,986.2396
183.98665303030305,-1714.7439757575758,985.695060909091,184.06195342875415,-1715.281167634066,985.2231159578336,185.2903,-1695.0763,983.4558,174.43584,-1873.6195,999.07294,223.9327,-1717.6423,985.941,103.89186,-1708.5933,986.25
184.07425969696973,-1714.7352560606064,985.7231369696971,184.15348500895755,-1715.302712453081,985.2832783762576,185.38892,-1694.9994,983.5129,174.51802,-1873.6533,999.0909,224.01373,-1717.6698,985.95264,103.97354,-1708.6282,986.2597
184.16050606060605,-1714.7250166666668,985.7507354545455,184.2437448644351,-1715.3237812543261,985.3442566548017,185.4865,-1694.9185,983.5708,174.59883,-1873.6874,999.1079,224.09319,-1717.697,985.96277,104.05369,-1708.6633,986.26874
184.24524954545456,-1714.7133530303033,985.7777922727274,184.33259366295815,-1715.3444985198526,985.4059217974498,185.5829,-1694.8337,983.62933,174.67816,-1873.7218,999.12415,224.17091,-1717.724,985.9714,104.13221,-1708.6987,986.27704
184.32841098484852,-1714.7004621212125,985.8042562121213,184.41998763411533,-1715.36458346529,985.4680375807282,185.67801,-1694.7458,983.68835,174.75595,-1873.7566,999.13947,224.24684,-1717.7505,985.97845,104.209015,-1708.7345,986.2848
184.4098651515152,-1714.6864848484852,985.8301400000001,184.5057789183022,-1715.3842680041241,985.5304920365445,185.77167,-1694.6552,983.74774,174.83209,-1873.7917,999.15393,224.32086,-1717.7767,985.9841,104.28403,-1708.7703,986.29193
184.4895209090909,-1714.6716227272732,985.8553681818182,184.5898987810575,-1715.4034847197745,985.5930688302335,185.86377,-1694.5624,983.8073,174.90656,-1873.8271,999.1676,224.39288,-1717.8025,985.9883,104.35718,-1708.8064,986.2985
184.56728924242427,-1714.6560015151517,985.8799837878789,184.67222044031223,-1715.4222432001104,985.655715984964,185.95416,-1694.4678,983.867,174.97923,-1873.8628,999.18054,224.46286,-1717.8279,985.99115,104.4284,-1708.8427,986.30457
184.64309454545457,-1714.6398712121215,985.9039287878788,184.75271467186437,-1715.4405779496262,985.7181645437879,186.04277,-1694.3721,983.9266,175.05008,-1873.8987,999.1927,224.5307,-1717.8529,985.9927,104.49764,-1708.8792,986.3102
184.71684984848486,-1714.6234348484854,985.9271793939395,184.8312862134303,-1715.4586171659662,985.7802685160431,186.12947,-1694.2759,983.98596,175.11906,-1873.9349,999.2042,224.59633,-1717.8776,985.993,104.56485,-1708.9156,986.3154
184.78848200000002,-1714.6069484848485,985.949793939394,184.90785319234624,-1715.4762865351254,985.8419212543662,186.21414,-1694.1797,984.045,175.18611,-1873.9713,999.2151,224.65971,-1717.9019,985.9922,104.629974,-1708.9525,986.3203
184.8579472727273,-1714.5905363636366,985.9716742424243,184.98239001904184,-1715.493609191584,985.9028414511616,186.29672,-1694.0841,984.10345,175.25119,-1874.008,999.2254,224.7208,-1717.9258,985.9903,104.69299,-1708.9894,986.3249
184.9251805757576,-1714.5745348484852,985.9929363636363,185.0548354384748,-1715.5108065713553,985.9630956803564,186.37712,-1693.9897,984.1614,175.31429,-1874.045,999.2352,224.77953,-1717.9495,985.9875,104.753876,-1709.0265,986.3292
184.99013393939396,-1714.5590560606065,986.0134956060606,185.12516638940585,-1715.5276028845824,986.0223124587059,186.45526,-1693.8972,984.2185,175.37535,-1874.0822,999.24457,224.83588,-1717.9727,985.9838,104.81259,-1709.0637,986.3334
